title
Brown boy by Nissim
Book of Haiku - Mountain Tasting
The Door to Door Bookstore #IGreads
Books and Bonedust
The Family Upstairs
The Village of Eight Graves
Moby Dick : Beigemoth
The Psychology of Money
Caste Pride
Fire in the Ganges
Caste Matters
Prophet Song
Raga and Josh
Morning Star (Red rising)
Adriatic
Safe Area 
The Day I became a runner
Entangled Life
Michael Pollan
The Revenge of Geography
Afreen
Dan Brown
Holly go lightly
The Talented Mr Ripley
Ripley's game
Invisible Women
Beyond Interpretation
How tu be more humane
Men without women
Fables (damsels)
Angela Carter
The Magic Toy shop
Hyperion
Whistleblower
What can a body do
Soviet Architecture of today
100 poems of Kabir by Rabindranath Tagore
The Worlds I see
Genius Makers
Namma Bangalore 
All quiet on the western front
Throne of glass
Sword of Kaigen
The Woman in me
Man's Search for meaning
The Happiest Man on Earth
Three Pigs To Financial Freedom
Moneywise
Wint wealth
Building a Second Brain
